Sl.No.,Name,Total-Student,Girl,Percentage of Girl,Total-Teacher,Female,Percenage of  Female,TSR
1,NORTH SOUTH UNIVERSITY,21896,6403,29.24,465,114,24.52,1:47
2,"UNIVERSITY OF SCIENCE AND TECHNOLOGY, Chittagonh",4698,1814,38.61,350,140,40,1:13
3,"INDEPENDENT UNIVERSITY, BANGLADESH",4989,1425,28.56,134,76,56.72,1:37
4,"INTERNATIONAL UNIVERSITY OF BUSINESS, AGRICULTURE and TECHNOLOGY (IUBAT)",8000,1365,17.06,256,59,23.05,1:31
5,AHSANULLAH SCIENCE AND TECHNOLOGY UNIVERSITY,7922,2014,25.42,396,110,27.78,1:20
6,EAST WEST UNIVERSITY,10499,3799,36.18,516,193,37.4,1:20
7,BRAC UNIVERSITY,7236,3438,47.51,535,207,38.69,1:14
8,PREMIER UNIVERSITY OF CHITTAGONG,9310,3916,42.06,273,101,37,1:34
9,STAMFORD UNIVERSITY Bangladesh,31691,10646,33.59,447,198,44.3,1:71
10,"CITY UNIVERSITY, Dhaka",7603,950,12.5,130,43,33.08,1:58
11,BANGLADESH UNIVERSITY OF BUSINESS   and Technology (BUBT),7586,2382,31.4,265,79,29.81,1:29
12,AMERICAL INTERNATIONAL UNIVERSITY OF BANGLADESH,11056,2843,25.71,363,91,25.07,1:30
13,THE UNIVERSITY OF ASIA AND PACIFIC,4288,1492,34.79,292,69,23.63,1:15
14,GONO BISHYABIDYALAYA,4014,1661,41.38,235,94,40,1:17
15,BANGLADESH UNIVERSITY,6972,1544,22.15,131,50,38.17,1:53
16,"LEADING UNIVERSITY OF  SYLHET, BANGLADESH",4593,1545,33.64,147,24,16.33,1:31
17,SOUTH EAST UNIVERSITY,8673,2050,23.64,372,96,25.81,1:23
18,DAFFODIL INTERNATIONAL UNIVERSITY,11511,2115,18.37,405,124,30.62,1:28
19,SHANTA MARIOUM UNIVERSITY OF CREATIVE TECHNOLOGY,6018,1974,32.8,302,150,49.67,1:20
20,UNIVERSITY OF DEVELOPMENT ALTERNATIVE (uoda),4474,1648,36.84,334,118,35.33,1:13
21,GREEN UNIVERSITY OF BANGLADESH,3165,403,12.73,174,35,20.11,1:18
22,WORLD UNIVERSITY OF BANGLADESH,5501,1084,19.71,242,36,14.88,1:23
23,"METROPOLITAN UNIVERSITY, SYLHET",3770,1314,34.85,110,26,23.64,1:34
24,UNIVERSITY OF SOUTH ASIA,3347,601,17.96,85,19,22.35,1:39
25,STATE UNIVERSITY OF BANGLADESH,4720,1512,32.03,209,46,22.01,1:23
26,EASTERN UNIVERSITY,3250,1128,34.71,178,41,23.03,1:18
27,UNITED INTERNATIONAL UNIVERSITY,16295,5891,36.15,268,77,28.73,1:61
28,UNIVERSITY OF INFORMATION TECHNOLOGY AND SCIENCE (UITS),25357,4447,17.54,305,117,38.36,1:83
29,ROYAL UNIVERSITY OF DHAKA,7832,1810,23.11,35,6,17.14,1:224
30,UNIVERSITY OF LIBERAL ARTS BANGLADESH,4204,1620,38.53,193,50,25.91,1:22
31,UTTARA UNIVERSITY,10559,2690,25.48,255,57,22.35,1:41
32,VICTORIA UNIVERSITY OF BANGLADESH,2373,620,26.13,41,13,31.71,1:58
33,PRESIDENCY UNIVERSITY,4050,720,17.78,89,19,21.35,1:46
34,PRIME ASIA UNIVERSITY,4069,648,15.93,220,65,29.55,1:19
35,BANGLADESH ISLAMI UNIVERSITY,8791,2103,23.92,133,20,15.04,1:66
36,ASA UNIVERSITY BANGLADESH,4020,1157,28.78,120,30,25,1:34
37,EAST DELTA UNIVERSITY,690,246,35.65,58,10,17.24,1:12
38,MANARAT INTERNATIONAL UNIVERSITY,3691,1623,43.97,158,28,17.72,1:23
